Description,Actions,Objects
add in all remaining ingredients to the same bowl,"add, remain","remaining ingredients, same bowl"
toss to combine and season with salt and pepper to taste,"combine, taste, toss","pepper, salt, season"
cover and chill for 30 minutes before serving,"cover, serve","chill, minutes"
"mix in tall glass preferrably , over ice",mix,"ice, tall glass"
"wince , shudder , repeat",repeat,"shudder, wince"
"cream together sherbet , bananas , and eggs",cream,"bananas, eggs, sherbet"
mix in the cake mix and beat for approximately two minutes,"beat, mix","cake, cake mix, minutes"
pour batter into bundt pan sprayed with nonstick cooking spray,spray,"bundt pan, cooking spray, nonstick, nonstick cooking, pour, pour batter"
bake at 350f for 45-60 minutes until toothpick comes clean when inserted,"come, insert","bake, minutes, toothpick"
spice cake mix and butter pecan ice cream,,"butter, butter pecan ice cream, cake, ice, spice cake mix"
chocolate cake mix and cookies & cream ice cream,,"cake, chocolate cake mix, cookies, cream ice cream, ice"
vanilla cake mix and orange sherbet,,"cake, orange, orange sherbet, vanilla, vanilla cake mix"
place the potato on a pot and fill it with water,"fill, place","pot, potato, water"
put it on the stove and wait for the potato to be tender,"put, wait","potato, stove"
drain the water and place the potato in the same pot,"drain, place","potato, same pot, water"
"with a fork mash the potato , it will look dry don't you worry","look, worry","fork, fork mash, potato"
"put salt and pepper , butter and milk , mix it all and watch the creaminess appear","appear, mix, put, watch","butter, creaminess, milk, pepper, salt"
"you don't even have to serve it on a dish , you can pig out on it in the same pot !","have, pig, serve","dish, same pot"
preheat oven to 300 degrees f,preheat,"degrees, f"
in a large skillet add oil and heat until hot,add,"heat, large skillet, oil"
place roast in skillet and sear on both sides,,"place roast, sear, sides, skillet"
using a large roasting pan add one onion and remaining ingredients,"add, remain, use","large roasting pan, onion, remaining ingredients, roasting"
transfer browned roast to roasting pan and top with the second onion,"brown, roast, transfer","browned roast, roasting pan, second onion, top"
cover and bake for 3 1 / 2 to 4 hours basting the roast every hour with juices,"bake, baste, cover","hour, hours, juices, roast"
if liquids begin to boil away add more coffee or soy sauce as needed,"add, begin, boil, need","liquids, more coffee, soy, soy sauce"
pan juices can be used to make gravy but do not add salt,"add, make, use","gravy, pan juices, salt"
mix batter ingredients together spray a 9x13-inch pan and spread batter to cover the bottom,"cover, mix, spray, spread","9x13 inch, batter, batter ingredients, bottom, inch pan"
"remove sausage from casings and saute , with garlic , onions , and bell pepper until sausage is no longer pink add tomato sauce and spices and simmer 10 minutes","add, remove, simmer","bell, bell pepper, casings, garlic, minutes, onions, sausage, saute, spices, tomato, tomato sauce"
pour meat mixture over batter top with mozzarella then pepperoni then parmesan,"parmesan, pepperoni, pour","batter top, meat, meat mixture, mozzarella"
bake 30-40 minutes or until done,do,minutes
combine water and oil in a pan,combine,"oil, pan, water"
heat to 125 - 130 degrees,heat,degrees
"stir together 3 cups flour , yeast , sugar and salt",stir,"cups, cups flour, salt, sugar, yeast"
add warm liquids and stir well,"add, stir",warm liquids
add beaten egg and mix well,"beat, mix",egg
"knead for 10 minutes , adding up to 1 cup flour",add,"cup, cup flour, minutes"
the dough should be soft,,dough
turn dough on to floured surface,"flour, turn","dough, floured surface"
cover and let it rest for 10 minutes,"cover, let, rest",minutes
prepare filling while the dough rests,"fill, prepare, rest",dough
roll into a rectangle about 18 inches by 12 inches,roll,"inches, rectangle"
spread filling over dough leaving 1 / 2 inch clear of filling along one long edge of the dough to seal the roll,"fill, leave, seal","dough, inch, long edge, roll, spread"
"begin rolling the dough along the long edge , jelly roll style","begin, roll","dough, jelly roll, long edge, roll style"
seal edge by pinching the outer edge of the dough with the part of the rolled dough,"pinch, roll","dough, outer edge, part, rolled dough, seal, seal edge"
"this description sounds awkward , but you'll understand when you've got the dough rolled up","get, roll, sound, understand","description, dough"
"cut dough into 1 1 / 2 inch slices , should make 12","cut, make","dough, inch, inch slices"
place into a greased 9x13 baking pan,"bake, grease","pan, place"
cover loosely and let rise 10 minutes,"cover, let, rise",minutes
bake at 400 degrees for 15 minutes,,"bake, degrees, minutes"
remove from oven and cool for 5 minutes before drizzling with icing,"ice, remove","drizzling, minutes"
filling directions: mix brown sugar and cinnamon,"fill, mix","brown sugar, directions"
"using fingers , work the butter into the sugar and cinnamon mixture , until crumbly","use, work","butter, cinnamon, cinnamon mixture, fingers, sugar"
"add raisins , if desired","add, desire",raisins
"icing directions: mix powdered sugar , corn syrup , vanilla and 1 to 2 t half & half until desired consistency","desire, ice, mix, powder","corn, corn syrup, desired consistency, directions, half, powdered sugar, t, vanilla"
add ingredients to your bread machine pan in the order listed above,"add, list","bread, bread machine pan, ingredients, machine, order"
use light setting and regular bread,use,"light setting, regular bread"
this can be a high-rising bread,rise,rising bread
"also notable is that i always look at my bread once the machine has warmed up and it begins its first blending -- if it's too dry , i add a little milk or juice , if it's a little ""wet"" i add flour in teaspoons at a time -- just ""eyeballing"" the consistency","add, begin, eyeball, look, warm","bread, consistency, first blending, flour, juice, little milk, little wet, machine, teaspoons, time"
your entire house will fill with the aroma of this lovely sweet bread while it bakes !,"bake, fill","aroma, entire house, lovely sweet bread"
"add milk , vanilla extract and oil and until well blended","add, blend","milk, oil, vanilla, vanilla extract"
spray a 10 to 12 ounce microwave-safe cup with cooking spray,spray,"cooking, cooking spray, microwave, ounce, safe cup"
pour the batter into the cup,pour,"batter, cup"
microwave at full power for 1 minute,,"full power, microwave, minute"
"depending upon the strength of your microwave and shape of your cup or container , you may need to cook the cake longer in 15 second increments until done","cook, depend, do, need","cake, container, cup, microwave, second increments, shape, strength"
microwave ? ! ? ! i can see some eyes rolling !,"roll, see","eyes, microwave"
"as long as you don't overcook , it won't turn rubbery","overcook, turn",
"since it contains no eggs , you don't have to worry about salmonella with the short cooking time","contain, have, worry","cooking, eggs, salmonella, short cooking time"
"also , the cake will puff up so don't fill a very small container","fill, puff","cake, small container"
it needs some room to rise,"need, rise",room
"it's not a fancy cake but when you eat it warm with whipped cream , ice cream or a chocolate glaze , it tastes pretty good","eat, taste, whip","chocolate, chocolate glaze, fancy cake, ice, ice cream, whipped cream"
it's great for when you're craving for something sweet but don't want the temptation of an entire cake in your house,"crave, want","entire cake, house, temptation"
"plus , it's super fast to make",make,
this recipe is pretty versatile,,recipe
"-you can change the flavor of the cake by adding drops of various extracts: almond , mint , etc","add, change","almond, cake, drops, flavor, mint, various extracts"
"-you can add chocolate chips , dollops of jam , mini candy bar , peanut butter cup , shredded coconut etc","add, shred","butter, candy, chocolate, chocolate chips, coconut, dollops, jam, mini candy bar"
"-if you don't like chocolate and want to make a white cake , you can omit the cocoa and add an extra tsp of flour , and candied ginger , various spices , citrus extracts or anything you like","add, candy, like, make, omit, want","chocolate, citrus, citrus extracts, cocoa, extra tsp, flour, ginger, various spices, white cake"
-you can substitute the milk with different liquids,substitute,"different liquids, milk"
"take one flour tortilla , put it on a microwaveable plate and spread a layer of refried beans in the middle of the tortilla leaving lots of room free on the sides for easy rolling","leave, put, refrie, spread, take","easy rolling, flour, flour tortilla, free room, layer, lots, microwaveable plate, middle, refried beans, sides, tortilla"
"i put on about 2t , my husband maybe 3t of beans",put,"beans, husband, t"
"pour a strip of taco sauce long ways down the beans , about 1-2t",pour,"beans, long ways, strip, t, taco sauce"
"grab a handful of cheese and put on top of the beans and sauce , about 1 / 4 cup","grab, put","beans, cheese, cup, handful, sauce, top"
microwave 30 seconds on high,microwave,seconds
roll it up like a burrito and microwave 20-30 seconds more,"microwave, roll","burrito, seconds"
"repeat for remaining tortillas , or for however many you can eat","eat, remain, repeat",remaining tortillas
all ingredients can stay in fridge for later,stay,"fridge, ingredients"
enjoy while piping hot !,"enjoy, pipe",
"cut into 1-1 1 / 2"" pieces",cut,pieces
"add oil , if using , and fry sausage until brown and no longer pink","add, pink, use","fry sausage, oil"
drain on paper towel and use in your favorite recipe,"drain, use","favorite recipe, paper, paper towel"
layer onto the tortilla the ingredients in the order they are listed,list,"ingredients, layer, order, tortilla"
"roll up , face seam side down","face, roll","seam, seam side"
microwave for 35 seconds on high,,"microwave, seconds"
mix cereals and spices in a bowl,mix,"bowl, cereals, spices"
"in a saucepan , bring milk , brown sugar , peanut butter and honey to a boil",bring,"boil, brown sugar, honey, milk, peanut, peanut butter, saucepan"
boil for 1 minute before removing from heat,"boil, remove","heat, minute"
immediately add vanilla and cereal mix,add,"cereal, cereal mix, vanilla"
pour onto cookie sheet lined with wax paper,"line, pour","cookie, cookie sheet, wax, wax paper"
